Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Patrick Patterson,"Dec 15, '10, HOU @ OKC",21,1,52,868,149,267,0,2,30,42,86,200,41,17,37,31,77,328,0.558,0.0,0.714,16.7,6.3,3.8,0.8,2011,pattepa01
Nikola Peković,"Oct 27, '10, MIN vs. SAC",25,1,65,887,136,263,0,0,87,114,90,193,27,18,35,91,181,359,0.517,,0.763,13.6,5.5,3.0,0.4,2011,pekovni01
Dexter Pittman,"Apr 1, '11, MIA @ MIN",22,1,2,11,1,3,0,0,0,0,1,3,0,0,0,2,2,2,0.333,,,5.5,1.0,1.5,0.0,2011,pittmde01
Quincy Pondexter,"Nov 6, '10, NOH @ MIL",22,1,66,734,73,180,18,50,24,34,23,88,28,17,10,16,63,188,0.406,0.36,0.706,11.1,2.8,1.3,0.4,2011,pondequ01
Andy Rautins,"Nov 9, '10, NYK @ MIL",24,1,5,24,3,7,1,4,1,2,0,1,3,1,0,7,0,8,0.429,0.25,0.5,4.8,1.6,0.2,0.6,2011,rautian01
Samardo Samuels,"Oct 29, '10, CLE @ TOR",22,1,37,701,110,241,0,3,68,110,75,158,17,15,18,53,88,288,0.456,0.0,0.618,18.9,7.8,4.3,0.5,2011,samuesa01
Larry Sanders,"Oct 27, '10, MIL @ NOH",22,1,60,872,116,268,0,0,28,50,59,178,16,22,72,38,117,260,0.433,,0.56,14.5,4.3,3.0,0.3,2011,sandela01
Kevin Séraphin,"Nov 16, '10, WAS vs. TOR",21,1,58,635,66,147,0,0,22,31,80,152,10,17,28,42,126,154,0.449,,0.71,10.9,2.7,2.6,0.2,2011,serapke01
Mustafa Shakur,"Jan 22, '11, WAS vs. BOS",26,1,22,159,21,59,1,10,8,15,7,22,25,5,3,18,15,51,0.356,0.1,0.533,7.2,2.3,1.0,1.1,2011,shakumu01
Garret Siler,"Nov 3, '10, PHO vs. SAS",24,1,21,101,17,31,0,0,11,22,16,28,3,1,4,10,20,45,0.548,,0.5,4.8,2.1,1.3,0.1,2011,silerga01
Ish Smith,"Oct 26, '10, HOU @ LAL",22,1,43,442,43,115,3,10,12,21,7,47,79,18,2,34,37,101,0.374,0.3,0.571,10.3,2.3,1.1,1.8,2011,smithis01
Tiago Splitter,"Nov 1, '10, SAS @ LAC",26,1,60,738,101,191,0,1,76,140,72,201,26,29,17,32,91,278,0.529,0.0,0.543,12.3,4.6,3.4,0.4,2011,splitti01
Lance Stephenson,"Feb 27, '11, IND vs. PHO",20,1,12,115,13,39,0,5,11,14,1,18,21,4,0,16,14,37,0.333,0.0,0.786,9.6,3.1,1.5,1.8,2011,stephla01
Pape Sy,"Apr 8, '11, ATL @ IND",22,1,3,21,2,6,0,1,3,3,2,3,2,1,0,3,1,7,0.333,0.0,1.0,7.0,2.3,1.0,0.7,2011,sypa01
Evan Turner,"Oct 27, '10, PHI vs. MIA",22,1,78,1797,225,529,14,44,101,125,42,306,159,49,14,80,138,565,0.425,0.318,0.808,23.0,7.2,3.9,2.0,2011,turneev01
Ekpe Udoh,"Dec 10, '10, GSW vs. MIA",23,1,58,1030,97,222,0,0,42,64,80,181,40,22,86,48,144,236,0.437,,0.656,17.8,4.1,3.1,0.7,2011,udohek01
Ben Uzoh,"Nov 15, '10, NJN @ LAC",22,1,42,438,61,144,3,8,33,56,30,61,69,13,8,25,29,158,0.424,0.375,0.589,10.4,3.8,1.5,1.6,2011,uzohbe01
Greivis Vásquez,"Oct 30, '10, MEM vs. MIN",24,1,70,860,95,233,25,86,34,44,12,73,151,22,4,70,83,249,0.408,0.291,0.773,12.3,3.6,1.0,2.2,2011,vasqugr01
John Wall,"Oct 28, '10, WAS @ ORL",20,1,69,2606,398,972,34,115,301,393,35,317,574,121,35,261,175,1131,0.409,0.296,0.766,37.8,16.4,4.6,8.3,2011,walljo01
Willie Warren,"Nov 1, '10, LAC vs. SAS",21,1,19,134,13,35,5,15,6,8,1,12,27,6,0,8,16,37,0.371,0.333,0.75,7.1,1.9,0.6,1.4,2011,warrewi01
Hassan Whiteside,"Oct 27, '10, SAC @ MIN",21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,2.0,0.0,0.0,0.0,2011,whiteha01
Lavoy Allen,"Jan 7, '12, PHI vs. TOR",22,1,41,624,79,167,0,0,11,14,47,171,34,13,18,20,73,169,0.473,,0.786,15.2,4.1,4.2,0.8,2012,allenla01
Gustavo Ayón,"Jan 1, '12, NOH @ SAC",26,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,0.536,0.0,0.619,20.1,5.9,4.9,1.4,2012,ayongu01
Keith Benson,"Mar 24, '12, GSW vs. SAC",23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0.0,,,3.0,0.0,1.0,0.0,2012,bensoke02
Bismack Biyombo,"Dec 26, '11, CHA vs. MIL",19,1,63,1455,129,278,0,0,69,143,113,368,27,20,115,71,145,327,0.464,,0.483,23.1,5.2,5.8,0.4,2012,biyombi01
MarShon Brooks,"Dec 26, '11, NJN @ WAS",23,1,56,1648,274,640,47,150,113,148,70,200,131,52,15,118,116,708,0.428,0.313,0.764,29.4,12.6,3.6,2.3,2012,brookma01
Alec Burks,"Dec 27, '11, UTA @ LAL",20,1,59,939,153,357,15,45,104,143,57,132,55,27,5,51,84,425,0.429,0.333,0.727,15.9,7.2,2.2,0.9,2012,burksal01
Jimmy Butler,"Jan 1, '12, CHI vs. MEM",22,1,42,359,32,79,2,11,43,56,23,56,14,11,5,14,20,109,0.405,0.182,0.768,8.5,2.6,1.3,0.3,2012,butleji01
Derrick Byars,"Apr 25, '12, SAS @ PHO",27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,0.273,0.0,1.0,18.5,5.0,5.5,0.5,2012,byarsde01
Norris Cole,"Dec 25, '11, MIA @ DAL",23,1,65,1260,177,450,21,76,66,85,21,91,133,44,2,105,124,441,0.393,0.276,0.776,19.4,6.8,1.4,2.0,2012,coleno01
Eric Dawson,"Feb 21, '12, SAS @ POR",27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,0.583,,0.5,9.8,3.8,2.5,0.0,2012,dawsoer01
Justin Dentmon,"Mar 24, '12, SAS @ NOH",26,1,6,91,10,28,2,14,4,6,0,8,10,2,0,7,10,26,0.357,0.143,0.667,15.2,4.3,1.3,1.7,2012,dentmju01
Jerome Dyson,"Apr 11, '12, NOH vs. SAC",24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,0.396,0.125,0.778,20.0,7.4,2.1,2.0,2012,dysonje01
Kenneth Faried,"Dec 28, '11, DEN vs. UTA",22,1,46,1037,181,309,0,0,109,164,142,352,36,34,47,54,116,471,0.586,,0.665,22.5,10.2,7.7,0.8,2012,farieke01
Jeff Foote,"Mar 9, '12, NOH @ DEN",24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,0.333,,,9.8,1.0,1.5,0.0,2012,footeje01
Courtney Fortson,"Jan 16, '12, LAC vs. NJN",23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,0.344,0.231,0.667,9.5,3.5,1.5,1.0,2012,fortsco01
Jimmer Fredette,"Dec 26, '11, SAC vs. LAL",22,1,61,1135,172,446,78,216,40,48,17,73,108,30,3,67,73,462,0.386,0.361,0.833,18.6,7.6,1.2,1.8,2012,fredeji01
Enes Freedom,"Dec 27, '11, UTA @ LAL",19,1,66,874,117,236,0,1,70,105,107,278,8,18,23,54,87,304,0.496,0.0,0.667,13.2,4.6,4.2,0.1,2012,kanteen01
Mickell Gladness,"Dec 25, '11, MIA @ DAL",25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,0.424,,0.5,9.7,2.2,2.2,0.2,2012,gladnmi01
Andrew Goudelock,"Dec 25, '11, LAL vs. CHI",23,1,40,419,68,174,28,75,11,12,5,31,20,4,0,21,32,175,0.391,0.373,0.917,10.5,4.4,0.8,0.5,2012,goudean01
Jordan Hamilton,"Jan 25, '12, DEN @ SAC",21,1,26,258,48,111,17,47,2,5,11,62,20,4,3,16,15,115,0.432,0.362,0.4,9.9,4.4,2.4,0.8,2012,hamiljo02
Justin Harper,"Dec 26, '11, ORL vs. HOU",22,1,14,84,9,31,2,13,0,1,3,12,2,2,3,6,5,20,0.29,0.154,0.0,6.0,1.4,0.9,0.1,2012,harpeju01
Josh Harrellson,"Dec 25, '11, NYK vs. BOS",22,1,37,540,63,149,20,59,16,26,47,144,11,23,20,20,48,162,0.423,0.339,0.615,14.6,4.4,3.9,0.3,2012,harrejo01
Terrel Harris,"Dec 25, '11, MIA @ DAL",24,1,22,318,29,83,8,39,14,21,18,51,26,9,2,25,34,80,0.349,0.205,0.667,14.5,3.6,2.3,1.2,2012,harrite01
Tobias Harris,"Jan 7, '12, MIL @ LAC",19,1,42,479,79,169,6,23,44,54,30,101,22,13,7,31,45,208,0.467,0.261,0.815,11.4,5.0,2.4,0.5,2012,harrito02
Cory Higgins,"Jan 1, '12, CHA @ MIA",22,1,38,423,52,160,4,20,42,60,7,35,36,5,6,39,40,150,0.325,0.2,0.7,11.1,3.9,0.9,0.9,2012,higgico01
Darington Hobson,"Jan 7, '12, MIL @ LAC",24,1,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,0.154,0.0,,7.8,0.8,0.6,1.2,2012,hobsoda01
Tyler Honeycutt,"Dec 31, '11, SAC vs. NYK",21,1,15,88,8,24,1,3,3,5,3,14,7,4,3,2,3,20,0.333,0.333,0.6,5.9,1.3,0.9,0.5,2012,honeyty01
Dennis Horner,"Dec 27, '11, NJN vs. ATL",23,1,8,22,1,4,0,1,3,4,2,5,0,0,0,1,1,5,0.25,0.0,0.75,2.8,0.6,0.6,0.0,2012,hornede01
Kyrie Irving,"Dec 26, '11, CLE vs. TOR",19,1,51,1558,350,747,73,183,171,196,44,191,275,54,20,160,110,944,0.469,0.399,0.872,30.5,18.5,3.7,5.4,2012,irvinky01
Reggie Jackson,"Dec 31, '11, OKC vs. PHO",21,1,45,501,51,159,13,62,25,29,14,53,71,25,1,36,31,140,0.321,0.21,0.862,11.1,3.1,1.2,1.6,2012,jacksre01
Charles Jenkins,"Dec 25, '11, GSW vs. LAC",22,1,51,893,130,291,3,20,34,39,8,68,170,33,6,60,85,297,0.447,0.15,0.872,17.5,5.8,1.3,3.3,2012,jenkich01
Carldell Johnson,"Dec 26, '11, NOH @ PHO",29,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,0.314,0.267,0.333,7.9,1.8,0.6,1.5,2012,johnsca01
Ivan Johnson,"Dec 27, '11, ATL @ NJN",27,1,56,934,141,275,2,6,72,100,65,226,32,43,18,69,116,356,0.513,0.333,0.72,16.7,6.4,4.0,0.6,2012,johnsiv01
JaJuan Johnson,"Dec 28, '11, BOS @ NOH",22,1,36,298,54,121,0,0,6,9,20,58,6,5,14,14,25,114,0.446,,0.667,8.3,3.2,1.6,0.2,2012,johnsja02
Jerome Jordan,"Dec 28, '11, NYK @ GSW",25,1,21,108,17,33,0,0,8,10,14,27,4,1,6,2,15,42,0.515,,0.8,5.1,2.0,1.3,0.2,2012,jordaje01
Cory Joseph,"Dec 26, '11, SAS vs. MEM",20,1,29,266,22,70,3,15,11,17,5,25,34,7,3,12,16,58,0.314,0.2,0.647,9.2,2.0,0.9,1.2,2012,josepco01
D.J. Kennedy,"Apr 25, '12, CLE vs. WAS",22,1,2,59,5,12,2,4,0,2,1,7,3,2,0,3,7,12,0.417,0.5,0.0,29.5,6.0,3.5,1.5,2012,kennedj01
Brandon Knight,"Dec 26, '11, DET @ IND",20,1,66,2129,319,769,105,276,104,137,33,211,251,49,10,171,154,847,0.415,0.38,0.759,32.3,12.8,3.2,3.8,2012,knighbr03
Malcolm Lee,"Mar 10, '12, MIN vs. NOH",21,1,19,243,23,59,2,10,14,17,9,26,31,8,4,17,22,62,0.39,0.2,0.824,12.8,3.3,1.4,1.6,2012,leema01
Kawhi Leonard,"Dec 26, '11, SAS vs. MEM",20,1,64,1534,199,404,41,109,68,88,104,327,70,85,24,44,88,507,0.493,0.376,0.773,24.0,7.9,5.1,1.1,2012,leonaka01
Travis Leslie,"Dec 28, '11, LAC @ SAS",21,1,10,45,5,14,0,0,4,9,6,9,5,2,2,2,4,14,0.357,,0.444,4.5,1.4,0.9,0.5,2012,leslitr01
Jon Leuer,"Dec 26, '11, MIL @ CHA",22,1,46,555,97,191,3,9,21,28,45,120,25,14,17,18,67,218,0.508,0.333,0.75,12.1,4.7,2.6,0.5,2012,leuerjo01
DeAndre Liggins,"Feb 20, '12, ORL @ MIL",23,1,17,115,12,25,0,4,9,19,6,15,5,6,0,10,6,33,0.48,0.0,0.474,6.8,1.9,0.9,0.3,2012,liggide01
Shelvin Mack,"Dec 26, '11, WAS vs. NJN",21,1,64,779,88,220,12,42,42,59,12,92,131,28,2,48,50,230,0.4,0.286,0.712,12.2,3.6,1.4,2.0,2012,macksh01
Vernon Macklin,"Dec 28, '11, DET vs. CLE",25,1,23,135,19,35,0,0,8,14,14,34,5,4,4,3,9,46,0.543,,0.571,5.9,2.0,1.5,0.2,2012,macklve01
E'Twaun Moore,"Dec 25, '11, BOS @ NYK",22,1,38,331,43,113,17,45,7,7,4,33,34,11,3,21,33,110,0.381,0.378,1.0,8.7,2.9,0.9,0.9,2012,mooreet01
Darius Morris,"Jan 11, '12, LAL @ UTA",21,1,19,169,18,42,4,9,6,9,2,16,21,2,0,19,16,46,0.429,0.444,0.667,8.9,2.4,0.8,1.1,2012,morrida01
Marcus Morris,"Dec 26, '11, HOU @ ORL",22,1,17,126,16,54,2,17,6,8,5,16,3,2,2,4,12,40,0.296,0.118,0.75,7.4,2.4,0.9,0.2,2012,morrima03
Markieff Morris,"Dec 26, '11, PHO vs. NOH",22,1,63,1227,174,436,43,124,76,106,69,279,65,41,42,70,179,467,0.399,0.347,0.717,19.5,7.4,4.4,1.0,2012,morrima02
Daniel Orton,"Jan 27, '12, ORL @ NOH",21,1,16,187,17,30,0,1,11,25,19,39,5,8,9,7,30,45,0.567,0.0,0.44,11.7,2.8,2.4,0.3,2012,ortonda01
Jeremy Pargo,"Dec 26, '11, MEM @ SAS",25,1,44,424,50,150,10,38,16,27,12,37,55,15,0,46,46,126,0.333,0.263,0.593,9.6,2.9,0.8,1.3,2012,pargoje01
Chandler Parsons,"Dec 29, '11, HOU vs. SAS",23,1,63,1804,248,549,60,178,43,78,90,300,134,73,29,81,142,599,0.452,0.337,0.551,28.6,9.5,4.8,2.1,2012,parsoch01
Ryan Reid,"Feb 14, '12, OKC vs. UTA",25,1,5,17,4,5,0,0,0,0,1,2,0,0,0,1,1,8,0.8,,,3.4,1.6,0.4,0.0,2012,reidry01
Ricky Rubio,"Dec 26, '11, MIN vs. OKC",21,1,41,1404,139,389,32,94,126,157,21,171,336,91,8,131,97,436,0.357,0.34,0.803,34.2,10.6,4.2,8.2,2012,rubiori01
Walker Russell,"Jan 20, '12, DET vs. MEM",29,1,28,357,33,95,4,13,14,22,7,26,58,18,1,33,29,84,0.347,0.308,0.636,12.8,3.0,0.9,2.1,2012,russewa02
Josh Selby,"Dec 28, '11, MEM vs. OKC",20,1,28,237,25,72,2,15,11,14,2,15,30,7,0,29,17,63,0.347,0.133,0.786,8.5,2.3,0.5,1.1,2012,selbyjo01
Iman Shumpert,"Dec 25, '11, NYK vs. BOS",21,1,59,1705,214,534,48,157,87,109,42,186,164,101,8,111,173,563,0.401,0.306,0.798,28.9,9.5,3.2,2.8,2012,shumpim01
Xavier Silas,"Apr 25, '12, PHI @ MIL",24,1,2,39,4,15,1,6,2,3,2,4,3,0,0,3,5,11,0.267,0.167,0.667,19.5,5.5,2.0,1.5,2012,silasxa01
Chris Singleton,"Dec 26, '11, WAS vs. NJN",22,1,66,1431,116,312,44,127,30,44,43,233,49,70,30,38,176,306,0.372,0.346,0.682,21.7,4.6,3.5,0.7,2012,singlch01
Donald Sloan,"Jan 11, '12, ATL @ IND",24,1,33,669,79,198,2,25,23,30,18,67,105,13,3,49,37,183,0.399,0.08,0.767,20.3,5.5,2.0,3.2,2012,sloando01
Greg Smith,"Feb 19, '12, HOU vs. UTA",21,1,8,69,7,11,0,0,0,0,5,20,1,2,5,1,17,14,0.636,,,8.6,1.8,2.5,0.1,2012,smithgr02
Jerry Smith,"Mar 16, '12, NJN @ ORL",24,1,5,46,3,14,1,6,0,0,2,7,4,5,0,0,5,7,0.214,0.167,,9.2,1.4,1.4,0.8,2012,smithje01
Nolan Smith,"Dec 26, '11, POR vs. PHI",23,1,44,541,67,180,13,45,20,28,17,56,62,18,3,42,55,167,0.372,0.289,0.714,12.3,3.8,1.3,1.4,2012,smithno01
Greg Stiemsma,"Dec 28, '11, BOS @ NOH",26,1,55,766,66,121,0,0,29,41,48,177,28,37,85,33,144,161,0.545,,0.707,13.9,2.9,3.2,0.5,2012,stiemgr01
Julyan Stone,"Jan 11, '12, DEN vs. NJN",23,1,22,179,13,31,2,11,8,11,5,25,37,8,6,11,18,36,0.419,0.182,0.727,8.1,1.6,1.1,1.7,2012,stoneju01
Isaiah Thomas,"Dec 26, '11, SAC vs. LAL",22,1,65,1656,256,571,83,219,154,185,48,168,266,53,8,105,121,749,0.448,0.379,0.832,25.5,11.5,2.6,4.1,2012,thomais02
Lance Thomas,"Dec 28, '11, NOH vs. BOS",23,1,42,630,57,126,0,1,52,62,49,126,12,10,7,24,78,166,0.452,0.0,0.839,15.0,4.0,3.0,0.3,2012,thomala01
Malcolm Thomas,"Jan 13, '12, SAS vs. POR",23,1,3,15,0,3,0,0,1,2,1,3,1,1,1,0,0,1,0.0,,0.5,5.0,0.3,1.0,0.3,2012,thomama01
Trey Thompkins,"Dec 28, '11, LAC @ SAS",21,1,24,119,24,61,4,13,5,7,4,24,3,3,3,6,10,57,0.393,0.308,0.714,5.0,2.4,1.0,0.1,2012,thomptr02
Klay Thompson,"Dec 25, '11, GSW vs. LAC",21,1,66,1608,318,718,111,268,79,91,24,161,133,49,20,103,155,826,0.443,0.414,0.868,24.4,12.5,2.4,2.0,2012,thompkl01
Mychel Thompson,"Jan 4, '12, CLE @ TOR",23,1,5,95,7,24,4,11,0,0,0,5,7,2,1,5,8,18,0.292,0.364,,19.0,3.6,1.0,1.4,2012,thompmy02
Tristan Thompson,"Dec 26, '11, CLE vs. TOR",20,1,60,1424,194,442,0,2,106,192,187,389,27,27,62,81,134,494,0.439,0.0,0.552,23.7,8.2,6.5,0.5,2012,thomptr01
Jeremy Tyler,"Dec 25, '11, GSW vs. LAC",20,1,42,568,88,209,0,1,29,52,54,140,16,16,20,36,84,205,0.421,0.0,0.558,13.5,4.9,3.3,0.4,2012,tylerje01
Edwin Ubiles,"Mar 21, '12, WAS @ NJN",25,1,4,52,5,18,1,5,3,3,2,10,1,1,1,1,1,14,0.278,0.2,1.0,13.0,3.5,2.5,0.3,2012,ubileed01
Jan Veselý,"Jan 8, '12, WAS vs. MIN",21,1,57,1078,117,218,0,1,33,62,101,249,47,39,32,60,156,267,0.537,0.0,0.532,18.9,4.7,4.4,0.8,2012,veselja01
Nikola Vučević,"Dec 28, '11, PHI @ PHO",21,1,51,812,131,291,3,8,18,34,88,246,31,20,34,33,111,283,0.45,0.375,0.529,15.9,5.5,4.8,0.6,2012,vucevni01
Kemba Walker,"Dec 26, '11, CHA vs. MIL",21,1,66,1792,281,767,69,226,168,213,30,234,289,60,20,119,79,799,0.366,0.305,0.789,27.2,12.1,3.5,4.4,2012,walkeke02
Derrick Williams,"Dec 26, '11, MIN vs. OKC",20,1,66,1418,205,498,37,138,136,195,77,311,38,30,31,77,95,583,0.412,0.268,0.697,21.5,8.8,4.7,0.6,2012,willide02
Elliot Williams,"Dec 27, '11, POR vs. SAC",22,1,24,149,37,74,8,27,6,18,7,19,6,6,3,5,18,88,0.5,0.296,0.333,6.2,3.7,0.8,0.3,2012,williel01
Jordan Williams,"Jan 2, '12, NJN vs. IND",21,1,43,635,77,152,0,0,43,66,66,156,11,21,15,23,61,197,0.507,,0.652,14.8,4.6,3.6,0.3,2012,willijo03
Chris Wright,"Dec 31, '11, GSW vs. PHI",23,1,24,186,23,45,0,0,24,31,19,45,4,7,13,8,22,70,0.511,,0.774,7.8,2.9,1.9,0.2,2012,wrighch01
Quincy Acy,"Nov 7, '12, TOR @ DAL",22,1,29,342,42,75,1,2,31,38,30,77,11,13,15,17,53,116,0.56,0.5,0.816,11.8,4.0,2.7,0.4,2013,acyqu01
Josh Akognon,"Apr 10, '13, DAL vs. PHO",26,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,0.5,0.5,,3.0,1.7,0.3,0.3,2013,akognjo01
Harrison Barnes,"Oct 31, '12, GSW @ PHO",20,1,81,2058,276,628,52,145,144,190,53,333,98,52,14,101,140,748,0.439,0.359,0.758,25.4,9.2,4.1,1.2,2013,barneha02
Will Barton,"Nov 2, '12, POR @ OKC",22,1,73,894,118,309,9,65,50,65,36,145,58,34,9,60,56,295,0.382,0.138,0.769,12.2,4.0,2.0,0.8,2013,bartowi01
Aron Baynes,"Jan 25, '13, SAS @ DAL",26,1,16,141,18,36,0,1,7,12,12,32,5,1,6,11,23,43,0.5,0.0,0.583,8.8,2.7,2.0,0.3,2013,baynear01
Kent Bazemore,"Nov 9, '12, GSW @ LAL",23,1,61,267,43,116,10,34,27,44,5,22,22,17,4,18,27,123,0.371,0.294,0.614,4.4,2.0,0.4,0.4,2013,bazemke01
Bradley Beal,"Oct 30, '12, WAS @ CLE",19,1,56,1745,282,687,91,236,125,159,43,211,137,50,29,90,113,780,0.41,0.386,0.786,31.2,13.9,3.8,2.4,2013,bealbr01
Patrick Beverley,"Jan 15, '13, HOU vs. LAC",24,1,41,713,79,189,36,96,34,41,45,109,117,37,21,44,83,228,0.418,0.375,0.829,17.4,5.6,2.7,2.9,2013,beverpa01
Victor Claver,"Nov 3, '12, POR @ HOU",24,1,49,812,74,189,25,87,14,30,31,119,43,26,12,43,75,187,0.392,0.287,0.467,16.6,3.8,2.4,0.9,2013,clavevi01
Chris Copeland,"Nov 2, '12, NYK vs. MIA",28,1,56,862,182,380,59,140,63,83,34,119,27,16,12,50,104,486,0.479,0.421,0.759,15.4,8.7,2.1,0.5,2013,copelch01
Jae Crowder,"Oct 30, '12, DAL @ LAL",22,1,78,1353,141,367,63,192,47,73,35,187,94,63,17,49,128,392,0.384,0.328,0.644,17.3,5.0,2.4,1.2,2013,crowdja01
Jared Cunningham,"Oct 31, '12, DAL @ UTA",21,1,8,26,6,14,2,3,2,2,1,3,1,1,0,2,3,16,0.429,0.667,1.0,3.3,2.0,0.4,0.1,2013,cunnija01
Anthony Davis,"Oct 31, '12, NOH vs. SAS",19,1,64,1846,349,676,0,6,169,225,165,522,63,75,112,89,158,867,0.516,0.0,0.751,28.8,13.5,8.2,1.0,2013,davisan02
Nando De Colo,"Nov 3, '12, SAS vs. UTA",25,1,72,920,105,241,31,82,35,44,23,138,138,41,6,81,87,276,0.436,0.378,0.795,12.8,3.8,1.9,1.9,2013,decolna01
Andre Drummond,"Oct 31, '12, DET vs. HOU",19,1,60,1243,208,342,1,2,59,159,169,457,30,59,95,57,144,476,0.608,0.5,0.371,20.7,7.9,7.6,0.5,2013,drumman01
Kim English,"Oct 31, '12, DET vs. HOU",24,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,0.375,0.28,0.724,9.9,2.9,0.9,0.6,2013,engliki01
Festus Ezeli,"Oct 31, '12, GSW @ PHO",23,1,78,1120,74,169,0,0,43,81,141,313,22,23,74,63,157,191,0.438,,0.531,14.4,2.4,4.0,0.3,2013,ezelife01
Evan Fournier,"Oct 31, '12, DEN @ PHI",20,1,38,428,75,152,22,54,30,39,6,35,44,19,1,32,65,202,0.493,0.407,0.769,11.3,5.3,0.9,1.2,2013,fournev01
Joel Freeland,"Nov 2, '12, POR @ OKC",25,1,51,477,58,142,0,0,18,27,40,119,13,13,11,19,67,134,0.408,,0.667,9.4,2.6,2.3,0.3,2013,freeljo01
Diante Garrett,"Nov 5, '12, PHO @ MIA",24,1,19,149,16,49,3,15,5,10,5,15,31,10,0,16,5,40,0.327,0.2,0.5,7.8,2.1,0.8,1.6,2013,garredi02
Draymond Green,"Oct 31, '12, GSW @ PHO",22,1,79,1061,84,257,14,67,45,55,58,260,53,42,25,51,159,227,0.327,0.209,0.818,13.4,2.9,3.3,0.7,2013,greendr01
Ben Hansbrough,"Nov 5, '12, IND @ SAS",25,1,28,200,15,45,6,23,21,27,2,18,21,7,2,18,23,57,0.333,0.261,0.778,7.1,2.0,0.6,0.8,2013,hansbbe01
Maurice Harkless,"Nov 7, '12, ORL @ MIN",19,1,76,1974,260,564,32,117,73,128,122,335,50,88,62,69,144,625,0.461,0.274,0.57,26.0,8.2,4.4,0.7,2013,harklma01
John Henson,"Nov 7, '12, MIL vs. MEM",22,1,63,827,162,336,0,3,56,105,116,297,31,19,42,47,83,380,0.482,0.0,0.533,13.1,6.0,4.7,0.5,2013,hensojo01
Justin Holiday,"Apr 3, '13, PHI @ CHA",23,1,9,142,16,48,4,16,6,8,0,14,15,3,6,9,7,42,0.333,0.25,0.75,15.8,4.7,1.6,1.7,2013,holidju01
Bernard James,"Oct 31, '12, DAL @ UTA",27,1,46,457,53,103,0,2,25,41,52,131,6,12,38,18,64,131,0.515,0.0,0.61,9.9,2.8,2.8,0.1,2013,jamesbe01
John Jenkins,"Nov 11, '12, ATL @ LAC",21,1,61,902,131,294,53,138,59,70,17,94,56,12,10,40,37,374,0.446,0.384,0.843,14.8,6.1,1.5,0.9,2013,jenkijo01
Chris Johnson,"Jan 23, '13, MEM vs. LAL",22,1,8,102,11,25,6,18,1,2,5,11,2,4,0,3,5,29,0.44,0.333,0.5,12.8,3.6,1.4,0.3,2013,johnsch04
Orlando Johnson,"Nov 5, '12, IND @ SAS",23,1,51,619,72,180,36,94,23,32,20,110,47,11,9,29,51,203,0.4,0.383,0.719,12.1,4.0,2.2,0.9,2013,johnsor01
Darius Johnson-Odom,"Nov 9, '12, LAL vs. GSW",23,1,4,6,0,4,0,1,0,0,1,4,1,0,0,0,0,0,0.0,0.0,,1.5,0.0,1.0,0.3,2013,johnsda03
DeQuan Jones,"Nov 4, '12, ORL vs. PHO",22,1,63,803,95,218,9,35,34,51,17,105,16,19,22,30,55,233,0.436,0.257,0.667,12.7,3.7,1.7,0.3,2013,jonesde01
Kevin Jones,"Dec 7, '12, CLE @ MIN",23,1,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,0.402,,0.6,10.4,3.0,2.4,0.3,2013,joneske01
Perry Jones,"Nov 2, '12, OKC vs. POR",21,1,38,280,39,99,0,2,10,15,12,62,10,5,6,15,23,88,0.394,0.0,0.667,7.4,2.3,1.6,0.3,2013,jonespe01
Terrence Jones,"Nov 10, '12, HOU vs. DET",21,1,19,276,43,94,5,19,13,17,28,65,15,12,19,13,21,104,0.457,0.263,0.765,14.5,5.5,3.4,0.8,2013,joneste01
Kris Joseph,"Nov 2, '12, BOS vs. MIL",24,1,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,0.143,0.0,0.625,5.4,0.9,0.7,0.1,2013,josepkr01
Michael Kidd-Gilchrist,"Nov 2, '12, CHA vs. IND",19,1,78,2025,281,613,2,9,140,187,131,455,117,54,70,101,164,704,0.458,0.222,0.749,26.0,9.0,5.8,1.5,2013,kiddgmi01
Viacheslav Kravtsov,"Dec 21, '12, DET vs. WAS",25,1,25,224,33,46,0,0,11,37,24,45,9,5,9,14,32,77,0.717,,0.297,9.0,3.1,1.8,0.4,2013,kravtvi01
