Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Marlon Maxey,"Dec 3, '92, MIN @ UTA",23,1,43,520,93,169,0,1,45,70,66,164,12,11,18,38,75,231,0.55,0.0,0.643,12.1,5.4,3.8,0.3,1993,maxeyma01
Lee Mayberry,"Nov 6, '92, MIL @ DET",22,1,82,1503,171,375,43,110,39,68,26,118,273,59,7,85,148,424,0.456,0.391,0.574,18.3,5.2,1.4,3.3,1993,maybele01
Oliver Miller,"Nov 7, '92, PHO vs. LAC",22,1,56,1069,121,255,0,3,71,100,70,275,118,38,100,108,145,313,0.475,0.0,0.71,19.1,5.6,4.9,2.1,1993,milleol01
Harold Miner,"Nov 7, '92, MIA vs. NJN",21,1,73,1383,292,615,3,9,163,214,74,147,73,34,8,92,130,750,0.475,0.333,0.762,18.9,10.3,2.0,1.0,1993,minerha01
Isaiah Morris,"Nov 14, '92, DET vs. IND",23,1,25,102,26,57,0,0,3,4,6,12,4,3,1,8,14,55,0.456,,0.75,4.1,2.2,0.5,0.2,1993,morriis01
Alonzo Mourning*,"Nov 13, '92, CHH @ IND",22,1,78,2644,572,1119,0,3,495,634,263,805,76,27,271,236,286,1639,0.511,0.0,0.781,33.9,21.0,10.3,1.0,1993,mournal01
Tracy Murray,"Nov 8, '92, POR vs. DEN",21,1,48,495,108,260,21,70,35,40,40,83,11,8,5,31,59,272,0.415,0.3,0.875,10.3,5.7,1.7,0.2,1993,murratr01
Melvin Newbern,"Jan 21, '93, DET @ HOU",25,1,33,311,42,113,1,8,34,60,19,37,57,23,1,32,42,119,0.372,0.125,0.567,9.4,3.6,1.1,1.7,1993,newbeme01
Shaquille O'Neal*,"Nov 6, '92, ORL vs. MIA",20,1,81,3071,733,1304,0,2,427,721,342,1122,152,60,286,307,321,1893,0.562,0.0,0.592,37.9,23.4,13.9,1.9,1993,onealsh01
Matt Othick,"Nov 7, '92, SAS @ DEN",23,1,4,39,3,5,2,4,0,2,1,2,7,1,0,4,7,8,0.6,0.5,0.0,9.8,2.0,0.5,1.8,1993,othicma01
Doug Overton,"Nov 15, '92, WSB @ NJN",23,1,45,990,152,323,3,13,59,81,25,106,157,31,6,72,81,366,0.471,0.231,0.728,22.0,8.1,2.4,3.5,1993,overtdo01
Anthony Peeler,"Nov 6, '92, LAL @ LAC",23,1,77,1656,297,634,46,118,162,206,64,179,166,60,14,123,193,802,0.468,0.39,0.786,21.5,10.4,2.3,2.2,1993,peelean01
Brent Price,"Nov 6, '92, WSB @ CHH",24,1,68,859,100,279,8,48,54,68,28,103,154,56,3,85,90,262,0.358,0.167,0.794,12.6,3.9,1.5,2.3,1993,pricebr01
Anthony Pullard,"Nov 7, '92, MIL vs. BOS",26,1,8,37,8,18,0,0,1,3,2,8,2,2,2,5,5,17,0.444,,0.333,4.6,2.1,1.0,0.3,1993,pullaan01
Sean Rooks,"Nov 7, '92, DAL vs. UTA",23,1,72,2087,368,747,0,2,234,389,196,536,95,38,81,160,204,970,0.493,0.0,0.602,29.0,13.5,7.4,1.3,1993,rooksse01
Malik Sealy,"Nov 7, '92, IND vs. DET",22,1,58,672,136,319,7,31,51,74,60,112,47,36,7,58,74,330,0.426,0.226,0.689,11.6,5.7,1.9,0.8,1993,sealyma01
Chris Smith,"Nov 6, '92, MIN @ BOS",22,1,80,1266,125,289,2,14,95,120,32,96,196,48,16,68,96,347,0.433,0.143,0.792,15.8,4.3,1.2,2.5,1993,smithch03
Reggie Smith,"Nov 8, '92, POR vs. DEN",22,1,23,68,10,27,0,1,3,14,15,21,1,4,1,4,16,23,0.37,0.0,0.214,3.0,1.0,0.9,0.0,1993,smithre01
Andre Spencer,"Dec 28, '92, ATL @ WSB",28,1,20,422,73,163,0,2,41,54,38,81,24,17,7,26,64,187,0.448,0.0,0.759,21.1,9.4,4.1,1.2,1993,spencan01
Elmore Spencer,"Nov 6, '92, LAC vs. LAL",23,1,44,280,44,82,0,0,16,32,17,62,8,8,18,26,54,104,0.537,,0.5,6.4,2.4,1.4,0.2,1993,spencel01
Latrell Sprewell,"Nov 6, '92, GSW @ UTA",22,1,77,2741,449,968,73,198,211,283,79,271,295,126,52,203,166,1182,0.464,0.369,0.746,35.6,15.4,3.5,3.8,1993,sprewla01
Barry Stevens,"Mar 7, '93, GSW vs. POR",30,1,2,6,1,2,0,0,0,0,2,2,0,0,0,0,1,2,0.5,,,3.0,1.0,1.0,0.0,1993,steveba01
Bryant Stith,"Nov 7, '92, DEN vs. SAS",22,1,39,865,124,278,0,4,99,119,39,124,49,24,5,44,82,347,0.446,0.0,0.832,22.2,8.9,3.2,1.3,1993,stithbr01
Gundars Vētra,"Nov 6, '92, MIN @ BOS",25,1,13,89,19,40,3,3,4,6,4,8,6,2,0,2,12,45,0.475,1.0,0.667,6.8,3.5,0.6,0.5,1993,vetragu01
Clarence Weatherspoon,"Nov 6, '92, PHI vs. NJN",22,1,82,2654,494,1053,1,4,291,408,179,589,147,85,67,176,188,1280,0.469,0.25,0.713,32.4,15.6,7.2,1.8,1993,weathcl01
Marcus Webb,"Nov 25, '92, BOS vs. WSB",22,1,9,51,13,25,0,1,13,21,5,10,2,1,2,5,11,39,0.52,0.0,0.619,5.7,4.3,1.1,0.2,1993,webbma01
Robert Werdann,"Nov 8, '92, DEN @ POR",22,1,28,149,18,59,0,1,17,31,23,52,7,6,4,12,38,53,0.305,0.0,0.548,5.3,1.9,1.9,0.3,1993,werdaro01
Corey Williams,"Nov 6, '92, CHI @ CLE",22,1,35,242,31,85,1,3,18,22,19,31,23,4,2,11,24,81,0.365,0.333,0.818,6.9,2.3,0.9,0.7,1993,willico01
Lorenzo Williams,"Nov 8, '92, CHH @ CLE",23,1,27,179,17,36,0,0,2,7,17,55,5,5,17,8,29,36,0.472,,0.286,6.6,1.3,2.0,0.2,1993,willilo01
Walt Williams,"Nov 6, '92, SAC vs. SAS",22,1,59,1673,358,823,61,191,224,302,115,265,178,66,29,179,209,1001,0.435,0.319,0.742,28.4,17.0,4.5,3.0,1993,williwa02
Randy Woods,"Nov 10, '92, LAC @ SAC",22,1,41,174,23,66,3,14,19,26,6,14,40,14,1,16,26,68,0.348,0.214,0.731,4.2,1.7,0.3,1.0,1993,woodsra01
